x	pN	pS
0.03125	2837.52	2329.14
0.0625	708.92	769.91
0.09375	419.17	475.43
0.125	286.87	352.75
0.15625	218.57	282.20
0.1875	173.22	247.86
0.21875	152.83	216.25
0.25	135.06	186.70
0.28125	114.21	159.99
0.3125	99.72	145.81
0.34375	93.47	135.17
0.375	84.50	126.42
0.40625	76.39	110.55
0.4375	67.09	107.74
0.46875	60.85	99.64
0.5	56.87	98.35
0.53125	51.53	94.15
0.5625	46.54	80.19
0.59375	42.21	71.24
0.625	42.49	73.64
0.65625	41.70	72.69
0.6875	39.81	70.82
0.71875	38.84	71.79
0.75	40.01	76.45
0.78125	43.06	79.48
0.8125	46.33	73.79
0.84375	44.00	68.69
0.875	38.13	65.72
0.90625	44.72	77.44
0.9375	63.42	115.13
0.96875	64.95	117.67
