HG00096	ERR188040
HG00097	ERR188231
HG00099	ERR188428
HG00100	ERR188206
HG00101	ERR188307
HG00102	ERR188416
HG00103	ERR188136
HG00105	ERR188368
HG00106	ERR188167
HG00108	ERR188166
HG00109	ERR188328
HG00110	ERR188082
HG00111	ERR188342
HG00112	ERR188465
HG00114	ERR188071
HG00115	ERR188186
HG00116	ERR188293
HG00117	ERR188219
HG00118	ERR188236
HG00119	ERR188119
HG00120	ERR188315
HG00121	ERR188087
HG00122	ERR188285
HG00123	ERR188035
HG00125	ERR188059
HG00126	ERR188461
HG00127	ERR188337
HG00128	ERR188245
HG00129	ERR188412
HG00130	ERR188443
HG00131	ERR188403
HG00132	ERR188430
HG00133	ERR188189
HG00136	ERR188383
HG00137	ERR188095
HG00138	ERR188385
HG00139	ERR188144
HG00141	ERR188401
HG00142	ERR188466
HG00143	ERR188257
HG00145	ERR188073
HG00146	ERR188455
HG00148	ERR188379
HG00149	ERR188065
HG00150	ERR188309
HG00151	ERR188116
HG00154	ERR188468
HG00155	ERR188028
HG00157	ERR188041
HG00158	ERR188332
HG00159	ERR188164
HG00160	ERR188387
HG00171	ERR188190
HG00173	ERR188445
HG00174	ERR188163
HG00176	ERR188187
HG00177	ERR188180
HG00178	ERR188248
HG00179	ERR188304
HG00180	ERR188146
HG00181	ERR188118
HG00182	ERR188149
HG00183	ERR188302
HG00185	ERR188320
HG00186	ERR188090
HG00187	ERR188425
HG00188	ERR188400
HG00189	ERR188361
HG00231	ERR188212
HG00232	ERR188289
HG00233	ERR188312
HG00234	ERR188237
HG00235	ERR188450
HG00236	ERR188036
HG00238	ERR188333
HG00239	ERR188112
HG00240	ERR188370
HG00242	ERR188053
HG00243	ERR188411
HG00244	ERR188448
HG00245	ERR188159
HG00246	ERR188271
HG00250	ERR188080
HG00251	ERR188154
HG00252	ERR188464
HG00253	ERR188351
HG00255	ERR188111
HG00256	ERR188091
HG00257	ERR188323
HG00258	ERR188242
HG00259	ERR188378
HG00260	ERR188185
HG00261	ERR188130
HG00262	ERR188057
HG00263	ERR188070
HG00264	ERR188366
HG00265	ERR188222
HG00266	ERR188267
HG00267	ERR188355
HG00268	ERR188117
HG00269	ERR188238
HG00271	ERR188397
HG00272	ERR188250
HG00273	ERR188034
HG00274	ERR188264
HG00275	ERR188326
HG00276	ERR188318
HG00277	ERR188274
HG00278	ERR188230
HG00280	ERR188457
HG00281	ERR188263
HG00282	ERR188266
HG00284	ERR188194
HG00285	ERR188083
HG00306	ERR188240
HG00308	ERR188482
HG00309	ERR188432
HG00310	ERR188205
HG00311	ERR188121
HG00313	ERR188123
HG00315	ERR188023
HG00319	ERR188300
HG00320	ERR188046
HG00321	ERR188045
HG00323	ERR188255
HG00324	ERR188113
HG00325	ERR188218
HG00326	ERR188418
HG00327	ERR188417
HG00328	ERR188341
HG00329	ERR188439
HG00330	ERR188296
HG00331	ERR188056
HG00332	ERR188294
HG00334	ERR188127
HG00335	ERR188156
HG00336	ERR188033
HG00337	ERR188098
HG00338	ERR188169
HG00339	ERR188321
HG00341	ERR188197
HG00342	ERR188270
HG00343	ERR188141
HG00344	ERR188473
HG00345	ERR188038
HG00346	ERR188168
HG00349	ERR188075
HG00350	ERR188031
HG00351	ERR188124
HG00353	ERR188340
HG00355	ERR188029
HG00356	ERR188241
HG00358	ERR188089
HG00360	ERR188374
HG00361	ERR188215
HG00362	ERR188480
HG00364	ERR188303
HG00365	ERR188395
HG00366	ERR188150
HG00367	ERR188358
HG00369	ERR188260
HG00371	ERR188362
HG00372	ERR188078
HG00373	ERR188198
HG00375	ERR188462
HG00376	ERR188299
HG00378	ERR188472
HG00379	ERR188330
HG00380	ERR188314
HG00381	ERR188280
HG00382	ERR188115
HG00383	ERR188102
HG00384	ERR188043
HG01334	ERR188469
HG01789	ERR188391
HG01790	ERR188407
HG01791	ERR188478
HG02215	ERR188470
NA06984	ERR188325
NA06985	ERR188327
NA06986	ERR188213
NA06989	ERR188202
NA06994	ERR188047
NA07037	ERR188376
NA07048	ERR188481
NA07051	ERR188474
NA07056	ERR188027
NA07347	ERR188324
NA07357	ERR188176
NA10847	ERR188101
NA10851	ERR188389
NA11829	ERR188433
